d,mstr,mstx,btc,strc,bps
2025-11-07,241.93,109.4,103766.36,99.18,0.002023335362
2025-11-10,238.88,106.5,105993.2,99.96,0.002023646003
2025-11-11,231.35,99.6,102730.49,100.0,0.002023646003
2025-11-12,224.61,93.7,101523.38,100.01,0.002023646003
2025-11-13,208.54,80.2,98051.35,98.625,0.002023646003
2025-11-14,199.75,73.2,94269.07,97.76,0.002023646003
2025-11-17,195.42,70.0,91871.97,94.58,0.002027591741
2025-11-18,206.8,78.0,92781.91,96.39,0.002027591741
2025-11-19,186.5,62.5,89448.64,94.59,0.002027591741
2025-11-20,177.13,56.4,86329.06,92.79,0.002027591741
2025-11-21,170.5,51.9,84502.38,95.38,0.002027591741
2025-11-24,179.04,57.0,89113.7,96.38,0.002027591741
2025-11-25,172.19,52.5,87336.89,96.29,0.002027591741
2025-11-26,175.64,54.7,89901.26,97.17,0.002027591741
2025-11-28,177.18,55.3,91228.87,96.66,0.002027591741
2025-12-01,171.42,51.7,85455.18,96.41,0.002027633043
2025-12-02,181.33,57.6,91119.13,97.8,0.002027633043
2025-12-03,188.39,62.0,92971.89,98.2,0.002027633043
2025-12-04,186.01,60.4,92514.66,98.2,0.002027633043
2025-12-05,178.99,55.8,89323.06,98.19,0.002027633043
2025-12-08,183.69,58.6,90812.79,98.53,0.002031202588
2025-12-09,188.99,61.8,93090.62,99.09,0.002031202588
2025-12-10,184.64,58.9,92490.6,98.98,0.002031202588
2025-12-11,183.3,58.1,91794.12,99.07,0.002031202588
2025-12-12,176.45,53.5,90227.99,99.06,0.002031202588
2025-12-15,162.08,44.8,85818.16,97.7,0.002032632273
2025-12-16,167.5,47.6,87615.64,97.84,0.002032632273
2025-12-17,160.38,43.7,85836.91,97.33,0.002032632273
2025-12-18,158.24,42.4,85134.09,97.9,0.002032632273
2025-12-19,164.82,45.6,87938.23,98.74,0.002032632273
2025-12-22,164.32,45.6,88321.26,98.94,0.002032632273
2025-12-23,157.88,41.9,87657.47,99.0,0.002032632273
2025-12-24,158.71,42.3,87532.16,98.96,0.002032632273
2025-12-26,158.81,42.1,87524.15,99.15,0.002032632273
2025-12-29,155.39,40.2,87157.78,98.79,0.00203258377
2025-12-30,155.61,40.3,87821.83,98.98,0.00203258377
2025-12-31,151.95,38.5,87531.63,98.795,0.00203258377
2026-01-02,157.16,40.9,89724.68,99.67,0.00203258377
2026-01-05,164.72,44.8,94146.82,99.93,0.001971822811
2026-01-06,157.97,41.3,92438.01,99.97,0.001971822811
2026-01-07,161.83,43.1,91055.89,99.99,0.001971822811
2026-01-08,166.97,45.7,90836.76,100.03,0.001971822811
2026-01-09,157.33,40.5,90166.14,100.03,0.001971822811
2026-01-12,162.23,42.9,91404.16,100.07,0.001972449286
2026-01-13,172.99,48.5,94400.45,100.02,0.001972449286
2026-01-14,179.33,52.0,97641.7,100.05,0.001972449286
2026-01-15,170.91,47.0,95177.48,99.99,0.001972449286
2026-01-16,173.71,48.6,95476.12,100.01,0.001972449286
2026-01-20,160.23,41.0,89588.15,99.12,0.001973889955
2026-01-21,163.81,42.8,90095.61,99.55,0.001973889955
